2022-11-14 23:08:21,784 INFO    MainThread:26672 [wandb_setup.py:_flush():68] Configure stats pid to 26672
2022-11-14 23:08:21,785 INFO    MainThread:26672 [wandb_setup.py:_flush():68] Loading settings from C:\Users\vince\.config\wandb\settings
2022-11-14 23:08:21,785 INFO    MainThread:26672 [wandb_setup.py:_flush():68] Loading settings from C:\Users\vince\Desktop\workplace\CQLEnsemble\CQLE\CQLE-SAC\wandb\settings
2022-11-14 23:08:21,785 INFO    MainThread:26672 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-14 23:08:21,785 INFO    MainThread:26672 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train_offline.py', 'program': 'train_offline.py'}
2022-11-14 23:08:21,785 INFO    MainThread:26672 [wandb_init.py:_log_setup():476] Logging user logs to C:\Users\vince\Desktop\workplace\CQLEnsemble\CQLE\CQLE-SAC\wandb\run-20221114_230821-1295beaw\logs\debug.log
2022-11-14 23:08:21,785 INFO    MainThread:26672 [wandb_init.py:_log_setup():477] Logging internal logs to C:\Users\vince\Desktop\workplace\CQLEnsemble\CQLE\CQLE-SAC\wandb\run-20221114_230821-1295beaw\logs\debug-internal.log
2022-11-14 23:08:21,785 INFO    MainThread:26672 [wandb_init.py:init():516] calling init triggers
2022-11-14 23:08:21,786 INFO    MainThread:26672 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {'run_name': 'CQL', 'env': 'hopper-random-v0', 'episodes': 100, 'seed': 1, 'log_video': 0, 'save_every': 100, 'batch_size': 512, 'hidden_size': 256, 'learning_rate': 0.0003, 'temperature': 1.0, 'cql_weight': 1.0, 'target_action_gap': 10, 'with_lagrange': 0, 'tau': 0.005, 'eval_every': 1}
2022-11-14 23:08:21,786 INFO    MainThread:26672 [wandb_init.py:init():569] starting backend
2022-11-14 23:08:21,786 INFO    MainThread:26672 [wandb_init.py:init():573] setting up manager
2022-11-14 23:08:21,791 INFO    MainThread:26672 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2022-11-14 23:08:21,795 INFO    MainThread:26672 [wandb_init.py:init():580] backend started and connected
2022-11-14 23:08:21,798 INFO    MainThread:26672 [wandb_init.py:init():658] updated telemetry
2022-11-14 23:08:21,798 INFO    MainThread:26672 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-11-14 23:08:22,527 INFO    MainThread:26672 [wandb_run.py:_on_init():2000] communicating current version
2022-11-14 23:08:22,587 INFO    MainThread:26672 [wandb_run.py:_on_init():2004] got version response 
2022-11-14 23:08:22,587 INFO    MainThread:26672 [wandb_init.py:init():728] starting run threads in backend
2022-11-14 23:08:27,618 INFO    MainThread:26672 [wandb_run.py:_console_start():1980] atexit reg
2022-11-14 23:08:27,618 INFO    MainThread:26672 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-14 23:08:27,619 INFO    MainThread:26672 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-14 23:08:27,619 INFO    MainThread:26672 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-14 23:08:27,619 INFO    MainThread:26672 [wandb_init.py:init():765] run started, returning control to user process
2022-11-14 23:08:30,466 INFO    MainThread:26672 [wandb_watch.py:watch():51] Watching
